,Name,Position,Points,Cost,Team,ROI,ECS(1),ECS(3),ECS(6)
0,Martínez,GK,103,5.1,Aston Villa,20.196078431372552,0.32,1.01,2.02
62,Pope,GK,98,5.4,Burnley,18.148148148148145,0.55,1.44,2.38
125,Leno,GK,89,5.0,Arsenal,17.8,0.28,0.8700000000000001,1.94
161,McCarthy,GK,76,4.6,Southampton,16.521739130434785,0.42,1.1199999999999999,2.27
95,Meslier,GK,77,4.7,Leeds,16.382978723404253,0.27,0.6900000000000001,1.25
34,Fabianski,GK,81,5.1,West Ham,15.882352941176471,0.46,1.3,1.89
227,Areola,GK,69,4.5,Fulham,15.333333333333334,0.32,1.1,1.85
261,Schmeichel,GK,84,5.5,Leicester,15.272727272727273,0.39,1.0,2.39
363,Guaita,GK,72,4.8,Crystal Palace,15.0,0.12,0.8400000000000001,1.76
395,Lloris,GK,83,5.6,Tottenham,14.821428571428573,0.53,1.04,2.34
195,Darlow,GK,74,5.0,Newcastle,14.8,0.22,0.44999999999999996,1.2
332,Ederson,GK,88,6.0,Manchester City,14.666666666666666,0.53,1.7000000000000002,3.58
429,Mendy,GK,71,5.1,Chelsea,13.92156862745098,0.51,1.35,2.21
558,Johnstone,GK,58,4.5,West Brom,12.88888888888889,0.08,0.41,1.07
457,de Gea,GK,66,5.3,Manchester United,12.452830188679245,0.33,1.31,2.12
292,Patrício,GK,67,5.4,Wolverhampton,12.407407407407407,0.21,0.62,1.33
591,Alisson,GK,71,5.9,Liverpool,12.033898305084746,0.32,1.01,2.62
621,Ramsdale,GK,53,4.6,Sheffield Utd,11.521739130434783,0.17,0.6100000000000001,1.06
530,Pickford,GK,50,4.8,Everton,10.416666666666668,0.21,1.01,2.16
498,Sánchez,GK,40,4.4,Brighton,9.09090909090909,0.42,1.06,1.93
